"MNET_SHORTNAME","NWSFIREZONE","ELEV_DEM","UNITS","TIMEZONE","SGID","SHORTNAME","ELEVATION","STID","WIMS_ID","GACC","MNET_LONGNAME","STATUS","PERIOD_OF_RECORD","LONGITUDE","COUNTY","STATE","CWA","NWSZONE","ID","MNET_ID","NAME","PROVIDERS","COUNTRY","SENSOR_VARIABLES","RESTRICTED","LATITUDE"
"PGE","STO216","1440.3","[object Object]","America/Los_Angeles","NC05","PGE","1441","243PG","null","NOCC","Pacific Gas and Electric","INACTIVE","[object Object]","-121.43071","Butte","CA","STO","CA016","165465","229","Mayberery","[object Object]","US","[object Object]","false","39.55752"
"PGE","STO266","2047.2","[object Object]","America/Los_Angeles","NC05","PGE","2043","263PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.95730","Shasta","CA","STO","CA066","165478","229","Inwood Road","[object Object]","US","[object Object]","false","40.52602"
"PGE","MTR504","1250","[object Object]","America/Los_Angeles","NC02","PGE","1251","PG804","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.40055","Napa","CA","MTR","CA504","165505","229","Los Posadas Forest","[object Object]","US","[object Object]","false","38.56370"
"PGE","EKA264","1952.1","[object Object]","America/Los_Angeles","NC02","PGE","1948","119PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.79987","Lake","CA","EKA","CA115","165506","229","Cornwall Road","[object Object]","US","[object Object]","false","39.10695"
"PGE","MTR506","771","[object Object]","America/Los_Angeles","NC02","PGE","781","126PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-123.00675","Sonoma","CA","MTR","CA506","165518","229","Lower Pine Mountain","[object Object]","US","[object Object]","false","38.83775"
"PGE","EKA212","754.6","[object Object]","America/Los_Angeles","NC04","PGE","758","182PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-123.61762","Humboldt","CA","EKA","CA106","165529","229","Casterlin Road","[object Object]","US","[object Object]","false","40.23599"
"PGE","STO266","2011.2","[object Object]","America/Los_Angeles","NC05","PGE","2015","196PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.50712","Butte","CA","STO","CA066","165587","229","Chalair Drive","[object Object]","US","[object Object]","false","39.71735"
"PGE","EKA276","1955.4","[object Object]","America/Los_Angeles","NC02","PGE","1961","203PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-123.21181","Mendocino","CA","EKA","CA110","165629","229","Humboldt Cave Creek Road","[object Object]","US","[object Object]","false","39.38097"
"PGE","EKA276","1460","[object Object]","America/Los_Angeles","NC02","PGE","1462","205PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-123.36371","Mendocino","CA","EKA","CA110","165630","229","Laytonville Dos Rios Road","[object Object]","US","[object Object]","false","39.70599"
"PGE","STO219","495.4","[object Object]","America/Los_Angeles","NC03B","PGE","487","206PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.19381","Stanislaus","CA","STO","CA019","165631","229","Diablo Grande Parkway","[object Object]","US","[object Object]","false","37.44433"
"PGE","STO266","561","[object Object]","America/Los_Angeles","NC05","PGE","557","213PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.67966","Butte","CA","STO","CA066","165632","229","Center Gap Road South","[object Object]","US","[object Object]","false","39.75983"
"PGE","STO263","2391.7","[object Object]","America/Los_Angeles","NC05","PGE","2384","214PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.86906","Shasta","CA","STO","CA063","165633","229","Arbuckle Mountain","[object Object]","US","[object Object]","false","40.36422"
"PGE","LOX340","29.5","[object Object]","America/Los_Angeles","SC07","PGE","24","212PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.29581","San Luis Obispo","CA","LOX","CA340","165919","229","Cruz Rock","[object Object]","US","[object Object]","false","35.71185"
"PGE","STO267","2014.4","[object Object]","America/Los_Angeles","NC07","PGE","2018","208PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.80379","El Dorado","CA","STO","CA067","166049","229","Excelsior Road","[object Object]","US","[object Object]","false","38.71649"
"PGE","STO219","157.5","[object Object]","America/Los_Angeles","SC05","PGE","156","204PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.01525","San Joaquin","CA","STO","CA019","166056","229","Bellota EMS","[object Object]","US","[object Object]","false","38.01700"
"PGE","HNX580","305.1","[object Object]","America/Los_Angeles","SC05","PGE","295","200PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-119.92212","Fresno","CA","HNX","CA307","166068","229","Herndon Sub EMS","[object Object]","US","[object Object]","false","36.84064"
"PGE","HNX580","321.5","[object Object]","America/Los_Angeles","SC05","PGE","317","246PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-119.64026","Fresno","CA","HNX","CA306","166185","229","McCall EMS","[object Object]","US","[object Object]","false","36.61259"
"PGE","MTR510","282.2","[object Object]","America/Los_Angeles","NC03B","PGE","290","140PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.94070","Contra Costa","CA","MTR","CA510","166186","229","Bailey Road","[object Object]","US","[object Object]","false","38.00762"
"PGE","STO217","364.2","[object Object]","America/Los_Angeles","NC05","PGE","369","209PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.25325","Placer","CA","STO","CA017","166187","229","Stardust Lane","[object Object]","US","[object Object]","false","38.87077"
