"MNET_SHORTNAME","NWSFIREZONE","ELEV_DEM","UNITS","TIMEZONE","SGID","SHORTNAME","ELEVATION","STID","WIMS_ID","GACC","MNET_LONGNAME","STATUS","PERIOD_OF_RECORD","LONGITUDE","COUNTY","STATE","CWA","NWSZONE","ID","MNET_ID","NAME","PROVIDERS","COUNTRY","SENSOR_VARIABLES","RESTRICTED","LATITUDE"
"PACIFICORP","MFR281","3389.1","[object Object]","America/Los_Angeles","NC06","PACIFICORP","3400","PC001","null","NOCC","PacifiCorp","ACTIVE","[object Object]","-122.42590","Siskiyou","CA","MFR","CA081","92648","247","SW Weed","[object Object],[object Object]","US","[object Object]","false","41.40356"
"PACIFICORP","MFR281","3215.2","[object Object]","America/Los_Angeles","NC06","PACIFICORP","3213","PC002","null","NOCC","PacifiCorp","ACTIVE","[object Object]","-122.38815","Siskiyou","CA","MFR","CA081","92649","247","North Weed","[object Object],[object Object]","US","[object Object]","false","41.46678"
"PACIFICORP","MFR281","3654.9","[object Object]","America/Los_Angeles","NC06","PACIFICORP","3003","PC003","null","NOCC","PacifiCorp","ACTIVE","[object Object]","-122.46566","Siskiyou","CA","MFR","CA081","92678","247","West Weed","[object Object],[object Object]","US","[object Object]","false","41.46472"
"PACIFICORP","MFR282","3320.2","[object Object]","America/Los_Angeles","NC04","PACIFICORP","3315","PC004","null","NOCC","PacifiCorp","ACTIVE","[object Object]","-122.31658","Siskiyou","CA","MFR","CA082","92716","247","Lake Siskiyou","[object Object],[object Object]","US","[object Object]","false","41.28025"
"PACIFICORP","MFR282","3805.8","[object Object]","America/Los_Angeles","NC04","PACIFICORP","3793","PC005","null","NOCC","PacifiCorp","ACTIVE","[object Object]","-122.31572","Siskiyou","CA","MFR","CA082","92717","247","North Mt Shasta City","[object Object],[object Object]","US","[object Object]","false","41.33149"
"PACIFICORP","MFR282","2670.6","[object Object]","America/Los_Angeles","NC04","PACIFICORP","2598","PC006","null","NOCC","PacifiCorp","ACTIVE","[object Object]","-122.28697","Siskiyou","CA","MFR","CA082","92718","247","Dunsmuir","[object Object],[object Object]","US","[object Object]","false","41.19179"
"PACIFICORP","MFR282","4822.8","[object Object]","America/Los_Angeles","NC04","PACIFICORP","4812","PC007","null","NOCC","PacifiCorp","ACTIVE","[object Object]","-122.24060","Siskiyou","CA","MFR","CA082","92719","247","Snowbrush","[object Object],[object Object]","US","[object Object]","false","41.28811"
"PACIFICORP","MFR280","1099.1","[object Object]","America/Los_Angeles","NC04","PACIFICORP","1097","PC008","null","NOCC","PacifiCorp","ACTIVE","[object Object]","-123.36732","Siskiyou","CA","MFR","CA080","92773","247","Happy Camp","[object Object],[object Object]","US","[object Object]","false","41.80217"
"PACIFICORP","MFR280","1387.8","[object Object]","America/Los_Angeles","NC04","PACIFICORP","1378","PC009","null","NOCC","PacifiCorp","ACTIVE","[object Object]","-123.20894","Siskiyou","CA","MFR","CA080","93119","247","West Seiad","[object Object],[object Object]","US","[object Object]","false","41.83871"
"PACIFICORP","SLC479","6479.7","[object Object]","America/Denver","GB26","PACIFICORP","6435","PC010","null","GBCC","PacifiCorp","ACTIVE","[object Object]","-111.58691","Utah","UT","SLC","UT111","94309","247","Sundance","[object Object],[object Object]","US","[object Object]","false","40.39643"
"PACIFICORP","STO213","1722.4","[object Object]","America/Los_Angeles","NC04","PACIFICORP","1712","PC011","null","NOCC","PacifiCorp","ACTIVE","[object Object]","-122.41337","Shasta","CA","STO","CA013","94318","247","Pollard Flat","[object Object],[object Object]","US","[object Object]","false","41.00992"
"PACIFICORP","MFR620","1043.3","[object Object]","America/Los_Angeles","NW04","PACIFICORP","1041","PC012","null","NWCC","PacifiCorp","ACTIVE","[object Object]","-123.41488","Josephine","OR","MFR","OR024","94319","247","East Merlin","[object Object],[object Object]","US","[object Object]","false","42.51880"
"PACIFICORP","MFR621","3563","[object Object]","America/Los_Angeles","NW04","PACIFICORP","3545","PC013","null","NWCC","PacifiCorp","ACTIVE","[object Object]","-122.64347","Jackson","OR","MFR","OR028","94320","247","Colestin","[object Object],[object Object]","US","[object Object]","false","42.04713"
"PACIFICORP","MFR620","1145","[object Object]","America/Los_Angeles","NW04","PACIFICORP","1142","PC014","null","NWCC","PacifiCorp","ACTIVE","[object Object]","-123.16805","Jackson","OR","MFR","OR026","94321","247","West Wimer","[object Object],[object Object]","US","[object Object]","false","42.53859"
"PACIFICORP","MFR620","1017.1","[object Object]","America/Los_Angeles","NW04","PACIFICORP","1018","PC015","null","NWCC","PacifiCorp","ACTIVE","[object Object]","-123.16347","Jackson","OR","MFR","OR026","94322","247","Rogue River","[object Object],[object Object]","US","[object Object]","false","42.41448"
"PACIFICORP","SLC496","5885.8","[object Object]","America/Denver","GB33","PACIFICORP","6010","PC016","null","GBCC","PacifiCorp","ACTIVE","[object Object]","-113.12444","Iron","UT","SLC","UT122","94323","247","Cross Hollow (Cedar City)","[object Object],[object Object]","US","[object Object]","false","37.64600"
"PACIFICORP","MFR623","4701.4","[object Object]","America/Los_Angeles","NW04","PACIFICORP","4650","PC017","null","NWCC","PacifiCorp","ACTIVE","[object Object]","-122.42092","Jackson","OR","MFR","OR028","94324","247","Howard Prairie","[object Object],[object Object]","US","[object Object]","false","42.21383"
"PACIFICORP","SLC479","8169.3","[object Object]","America/Denver","GB26","PACIFICORP","8147","PC018","null","GBCC","PacifiCorp","ACTIVE","[object Object]","-111.51211","Summit","UT","SLC","UT111","94335","247","Park City Mountain Resort","[object Object],[object Object]","US","[object Object]","false","40.63207"
"PACIFICORP","PDT639","816.9","[object Object]","America/Los_Angeles","NW06","PACIFICORP","815","PC019","null","NWCC","PacifiCorp","ACTIVE","[object Object]","-121.53446","Hood River","OR","PQR","OR014","94338","247","Odell","[object Object],[object Object]","US","[object Object]","false","45.64363"
"PACIFICORP","PDT695","2290","[object Object]","America/Los_Angeles","NW05","PACIFICORP","2293","PC020","null","NWCC","PacifiCorp","ACTIVE","[object Object]","-121.03805","Yakima","WA","PDT","WA523","94352","247","Upper Nile","[object Object],[object Object]","US","[object Object]","false","46.91442"
