Station ID,Station Name,Latitude,Longitude,Elevation,County,Mesonet,First Data Date,Last Data Date,Status
0121P,Long Island,38.53834,-121.57655,10,Yolo,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0122P,Forks of Salmon - CA,41.25964,-123.33112,1280,Siskiyou,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0123P,SCEM_04,34.05451,-118.01136,289,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0124P,AQMD_NASA_23,34.07508,-118.56294,735,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0125P,AQMD_NASA_28,34.1804,-118.89463,725,Ventura,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0126P,scem_06,34.07163,-118.03126,295,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0127P,Atascadero,35.49484,-120.66582,860,San Luis Obispo,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0128P,Red Hills2,35.64371,-120.2314,2306,San Luis Obispo,PURPLEAIR,2019-10-22,2020-08-13,INACTIVE
,,,,,,,,,
0129P,RUSD_12 (Chemawa MS),33.9266,-117.43319,797,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
012PG,Saw Mill Flat,36.9447,-119.01525,6009,Fresno,PGE,2020-10-23,2021-01-11,ACTIVE
,,,,,,,,,
012SE,SCE Illinois Dr,34.10234,-118.17286,866,Los Angeles,SC-EDISON,2020-09-16,2021-01-11,ACTIVE
,,,,,,,,,
0130P,AQMD_NASA_38,34.17478,-118.12699,1112,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0131P,AQMD_NASA_20,33.76872,-118.17295,62,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0132P,RIVR_Co-loc8,33.99998,-117.41676,820,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0133P,Claremont_01,34.12537,-117.7261,1414,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0134P,KCACALIF4,35.11522,-117.93838,2369,Kern,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0135P,San Juan Capistrano CA - Peppertree Bend,33.49491,-117.68442,299,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0136P,Hawthorne Hills West,37.99,-122.58062,223,Marin,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0137P,Varian Park,37.32448,-122.06209,318,Santa Clara,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0138P,Southwest Landers - CA,34.22314,-116.41058,3409,San Bernardino,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0139P,Union City,37.59633,-122.06967,7,Alameda,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
013PG,San Juan Bautista,36.86574,-121.5544,163,San Benito,PGE,2020-09-12,2021-01-11,ACTIVE
,,,,,,,,,
013SE,SCE Rouse Rd,33.72866,-117.18772,1427,Riverside,SC-EDISON,2020-09-17,2021-01-11,ACTIVE
,,,,,,,,,
0140P,Cupertino - CA,37.30264,-122.05828,528,Santa Clara,PURPLEAIR,2019-10-22,2020-04-26,INACTIVE
,,,,,,,,,
0141P,High valley,32.99302,-117.01037,1283,San Diego,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0142P,Waverly Park,37.36218,-122.06556,177,Santa Clara,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0143P,Balboa,33.6057,-117.89559,13,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0144P,Venice,33.99251,-118.47207,26,Los Angeles,PURPLEAIR,2019-10-22,2021-01-09,ACTIVE
,,,,,,,,,
0145P,Snappy,38.88065,-121.27081,194,Placer,PURPLEAIR,2019-10-22,2020-09-02,INACTIVE
,,,,,,,,,
0146P,The Heights at Loma Vista PA-II,36.79107,-119.65437,371,Fresno,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0147P,St. Andrews Ct.,33.56958,-117.14143,1306,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0148P,Leona,37.37447,-122.0833,135,Santa Clara,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0149P,Sierra Pelona Ridge AQ Station,34.51352,-118.15334,3773,Los Angeles,PURPLEAIR,2019-10-22,2020-10-08,INACTIVE
,,,,,,,,,
014PG,Laureles Grade,36.52809,-121.74964,1372,Monterey,PGE,2020-09-12,2021-01-11,ACTIVE
,,,,,,,,,
014SE,SCE Esterina Way,33.99759,-118.38368,207,Los Angeles,SC-EDISON,2020-09-17,2021-01-11,ACTIVE
,,,,,,,,,
0150P,El Cerrito - Rust - Ohlone Greenway,37.90647,-122.30159,59,Contra Costa,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0151P,NW Modesto,37.697,-121.049,79,Stanislaus,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0152P,Apple Valley,34.53511,-117.11615,3071,San Bernardino,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0153P,Fortuna - CA,40.56664,-124.1282,197,Humboldt,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0154P,Imola6,38.3051,-122.28899,26,Napa,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0155P,Sutter Creek - Ridge Rd,38.38886,-120.76946,1677,Amador,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0156P,Hawes Right Field,37.47194,-122.23212,26,San Mateo,PURPLEAIR,2019-10-22,2020-09-07,INACTIVE
,,,,,,,,,
0157P,Newcastle,38.85027,-121.13476,735,Placer,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0158P,Shop,37.11794,-120.7445,98,Merced,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0159P,El Sobrante Manor,37.98261,-122.29586,289,Contra Costa,PURPLEAIR,2019-10-22,2019-10-27,INACTIVE
,,,,,,,,,
015PG,Fairfield,38.24015,-122.14175,563,Solano,PGE,2020-11-05,2021-01-11,ACTIVE
,,,,,,,,,
015SE,SCE Super Creek,33.94194,-116.61981,1657,Riverside,SC-EDISON,2020-09-17,2021-01-11,ACTIVE
,,,,,,,,,
0160P,Arroyo Grande Village Glen,35.13255,-120.57762,243,San Luis Obispo,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0161P,Village East Drive,38.24794,-122.60063,56,Sonoma,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0162P,Stanford South,37.41868,-122.15756,89,Santa Clara,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0163P,Front Office,37.11881,-120.74453,98,Merced,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0164P,Willow Glen West,37.305,-121.91792,141,Santa Clara,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0165P,Starlite Acres,39.25209,-121.07881,2303,Nevada,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0166P,Oakhurst 1,37.31998,-119.6232,2552,Madera,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0167P,Morelos,38.01432,-122.69059,249,Marin,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0168P,Friends of Calwa,36.70699,-119.75748,302,Fresno,PURPLEAIR,2019-10-22,2020-10-26,INACTIVE
,,,,,,,,,
0169P,Sycamore Canyon,34.00338,-118.05489,361,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
016PG,Arrowhead Hills,38.27105,-122.38747,713,Napa,PGE,2020-10-30,2021-01-11,ACTIVE
,,,,,,,,,
016SE,SCE Martin St,33.8445,-117.27585,1762,Riverside,SC-EDISON,2020-09-17,2021-01-11,ACTIVE
,,,,,,,,,
0170P,1381 Rock Haven St,34.04675,-118.15531,449,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0171P,APIFM,34.06571,-118.1433,430,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0172P,SCAP_19,34.05437,-118.11611,433,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0173P,SCAP_07,34.06667,-118.14863,436,Los Angeles,PURPLEAIR,2019-10-21,2021-01-11,ACTIVE
,,,,,,,,,
0174P,SCAP_05,34.07068,-118.1157,397,Los Angeles,PURPLEAIR,2019-10-22,2019-10-25,INACTIVE
,,,,,,,,,
0175P,SCAP_14,34.09842,-118.13409,532,Los Angeles,PURPLEAIR,2019-10-22,2020-08-24,INACTIVE
,,,,,,,,,
0176P,SCAP_03,34.07055,-118.11471,394,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0177P,RIVR_Co-loc9,33.99938,-117.41601,820,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0178P,SCAP_17,34.05253,-118.12271,528,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0179P,Bico de Pato,33.936,-118.14366,121,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
017PG,Guadalupe Mines,37.21457,-121.90192,651,Santa Clara,PGE,2020-10-25,2021-01-11,ACTIVE
,,,,,,,,,
017SE,SCE Pilot Rock,34.30748,-117.28195,3376,San Bernardino,SC-EDISON,2020-09-17,2021-01-11,ACTIVE
,,,,,,,,,
0180P,Malaga,36.67905,-119.73192,305,Fresno,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0181P,SCAP_10,34.05941,-118.13359,410,Los Angeles,PURPLEAIR,2019-10-22,2020-12-23,ACTIVE
,,,,,,,,,
0182P,Sebastopol,38.40763,-122.83102,138,Sonoma,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
