Serial_Num,Date_Insta,Station.Name,Station_Co,lat,lon,Elev_ft,Hyperlink,HFTD,GlobalID,created_us,created_da,last_edite,last_edi_1,geometry,Mesonet,Station.ID,Elevation,County,First.Data.Date,Last.Data.Date,Status,last.year,Quality,Tier
3128.0,2020-07-30,7201-Alpine Meadows,LIB-3128,39.18169483,-120.22145596,6458.0,https://liberty.westernweathergroup.com/,2,{5A66EFDD-BDCE-4365-9C89-24B81B21C7DC},,,Dwarburg,2023-07-12,POINT (221734.55700000003 4341884.3221),,,,,,,,,2,IOU
3120.0,2020-09-14,TAH7300-Homewood,LIB-3120,39.08579639,-120.16107606,6240.0,https://liberty.westernweathergroup.com/,2,{BE990B6E-797E-4C2E-91BC-BDB2AFE32393},,,Dwarburg,2023-07-12,POINT (226580.14699999988 4331055.0419),,,,,,,,,2,IOU
3125.0,2020-09-14,MEY3400-Camp Richardson,LIB-3125,38.9340392,-120.04750587,6265.0,https://liberty.westernweathergroup.com/,2,{EE37D349-EC27-462E-8E55-DB69945EA5D0},,,Dwarburg,2023-07-12,POINT (235840.95199999958 4313873.4056),,,,,,,,,2,IOU
3126.0,2020-09-14,MEY3500-STPD Office,LIB-3126,38.92180738,-119.97072866,6256.0,https://liberty.westernweathergroup.com/,2,{C9CE6753-2240-4E85-A9B4-BE66C25BF111},,,Dwarburg,2023-07-12,POINT (242453.0658999998 4312295.763699999),,,,,,,,,2,IOU
3107.0,2020-04-30,Meyers3400-Uplands,LIB-3107,38.8956334,-120.0374538,6961.0,https://liberty.westernweathergroup.com/,2,{B3669CEF-8D9C-441D-8168-C314A8020199},,,Dwarburg,2023-07-12,POINT (236570.34499999974 4309581.1514),,,,,,,,,2,IOU
3118.0,2020-10-17,Muller1296-Emigrant Trail,LIB-3118,38.81995197,-119.779508,5006.0,https://liberty.westernweathergroup.com/,2,{009D7841-8129-4E2B-A3C0-744DFAA74442},,,Dwarburg,2023-07-12,POINT (258689.3808000004 4300466.989600001),,,,,,,,,2,IOU
3130.0,2020-10-20,TPZ1261-Eastside Lane,LIB-3130,38.52195328,-119.45609848,5519.0,https://liberty.westernweathergroup.com/,2,{BCDCD97C-E71B-42F4-B235-9EB3EE9CD8BE},,,Dwarburg,2023-07-12,POINT (285884.7073999997 4266588.0329),,,,,,,,,2,IOU
3114.0,2020-11-02,TRUCKEE7203 - Northstar Golf Course,LIB-3114,39.30065191,-120.1155624,5847.0,https://liberty.westernweathergroup.com/,2,{1C5D5C99-C599-4B4F-BA0A-2C7ADD64A9EE},,,Dwarburg,2023-07-12,POINT (231338.10039999988 4354769.6237),,,,,,,,,2,IOU
3122.0,2020-10-30,MEY3300-Grass Lake Road,LIB-3122,38.80332397,-120.01556418,6463.0,https://liberty.westernweathergroup.com/,2,{146F349A-D4BA-40A4-A14F-E5CD82117199},,,Dwarburg,2023-07-12,POINT (238130.5547000002 4299271.6526999995),,,,,,,,,2,IOU
3129.0,2020-10-30,MUL1296-Markleeville,LIB-3129,38.69466626,-119.7806673,5534.0,https://liberty.westernweathergroup.com/,2,{2CB8A781-14C2-4A52-8092-3AF04BB3AAF5},,,Dwarburg,2023-07-12,POINT (258165.8864000002 4286563.971000001),,,,,,,,,2,IOU
0.0,2022-06-10,Tahoe-7300 Sugar Pine Point,,39.05609236,-120.11852078,6324.0,https://liberty.westernweathergroup.com/,2,{BEDD484C-4535-415E-A9E9-A2E904112C79},bmallett,2023-05-25,bmallett,2023-09-11,POINT (230147.4358000001 4327630.9899),,,,,,,,,2,IOU
0.0,2022-06-10,TAH-5201 Lake Forest,,39.18860075,-120.11262607,6318.0,https://liberty.westernweathergroup.com/,2,{93428C5B-34A7-4ECD-9409-3140CFD1D8AB},bmallett,2023-05-25,bmallett,2023-09-11,POINT (231162.33440000005 4342322.862),,,,,,,,,2,IOU
0.0,2022-06-10,POR32 4th Avenue,,39.81342608,-120.46224902,4894.0,https://liberty.westernweathergroup.com/,Non-HFTD,{DE7EB698-137D-458C-8B2F-3191F865BD67},bmallett,2023-05-25,bmallett,2023-09-11,POINT (203627.8864000002 4412787.0041000005),,,,,,,,,2,IOU
0.0,2022-06-10,STL3101 Ledge Ct.,,38.94338336,-119.93602992,6857.0,https://liberty.westernweathergroup.com/,2,{450CA242-0D45-4834-B75E-A8FA68CA8E77},bmallett,2023-05-25,bmallett,2023-09-11,POINT (245537.92709999997 4314593.8050999995),,,,,,,,,2,IOU
3137.0,2023-05-01,TAH5201 Fairway,LIB-3137,39.169202,-120.145922,6270.0,https://liberty.westernweathergroup.com/,2,{EF9CE727-53A5-4670-B6CA-D0279359AF00},bmallett,2023-06-16,bmallett,2024-01-22,POINT (228189.89400000032 4340260.9234),,,,,,,,,2,IOU
3138.0,2023-07-15,TPZ1261 Cunningham,LIB-3138,38.58074044,-119.50378134,5081.0,https://liberty.westernweathergroup.com/,2,{E558FB57-ED8C-4263-91AC-21F62FAD0FD3},bmallett,2023-09-06,bmallett,2024-01-22,POINT (281903.9453999996 4273225.363500001),,,,,,,,,2,IOU
3131.0,2023-12-01,MEY3300 TOLTECA,LIB3131,38.84622825,-120.03565783,6567.0,https://liberty.westernweathergroup.com/,2,{A28477EA-91BF-43CA-8E99-F64E9C324550},bmallett,2024-01-22,bmallett,2024-01-22,POINT (236542.51190000027 4304092.509199999),,,,,,,,,2,IOU
3135.0,2023-12-01,SMP8700 FIRECAMP,LIB3135,39.46927965,-120.10223791,5781.0,https://liberty.westernweathergroup.com/,2,{E5E2D55C-B653-4726-BB07-BA4284A3703C},bmallett,2024-01-22,bmallett,2024-01-22,POINT (233129.9841 4373450.1424),,,,,,,,,2,IOU
3139.0,2023-12-01,MULR1296 SORENSENS,LIB3139,38.77599116,-119.90123878,6890.0,https://liberty.westernweathergroup.com/,2,{129B5746-CB10-4584-AB07-C383E849DA42},bmallett,2024-01-22,bmallett,2024-01-22,POINT (247962.9759999998 4295916.8017),,,,,,,,,2,IOU
