"MNET_SHORTNAME","NWSFIREZONE","ELEV_DEM","UNITS","TIMEZONE","SGID","SHORTNAME","ELEVATION","STID","WIMS_ID","GACC","MNET_LONGNAME","STATUS","PERIOD_OF_RECORD","LONGITUDE","COUNTY","STATE","CWA","NWSZONE","ID","MNET_ID","NAME","PROVIDERS","COUNTRY","SENSOR_VARIABLES","RESTRICTED","LATITUDE"
"SC-EDISON","SGX256","6400.9","[object Object]","America/Los_Angeles","SC11","SC-EDISON","6388","SE001","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-116.73432","Riverside","CA","SGX","CA056","70844","231","SCE Marion Ridge","[object Object],[object Object]","US","[object Object]","false","33.76594"
"SC-EDISON","SGX256","5587.3","[object Object]","America/Los_Angeles","SC11","SC-EDISON","5598","SE002","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-116.71663","Riverside","CA","SGX","CA056","70845","231","SCE Idyllwild","[object Object],[object Object]","US","[object Object]","false","33.75136"
"SC-EDISON","LOX370","2732.9","[object Object]","America/Los_Angeles","SC08","SC-EDISON","2750","SE003","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-118.65901","Los Angeles","CA","LOX","CA370","70846","231","SCE Saddle Peak","[object Object],[object Object]","US","[object Object]","false","34.07684"
"SC-EDISON","LOX548","761.2","[object Object]","America/Los_Angeles","SC08","SC-EDISON","760","SE004","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-118.02279","Los Angeles","CA","LOX","CA548","70847","231","SCE Santa Anita Canyon 2","[object Object],[object Object]","US","[object Object]","false","34.16891"
"SC-EDISON","LOX288","1663.4","[object Object]","America/Los_Angeles","SC09","SC-EDISON","1658","SE005","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-118.45637","Los Angeles","CA","LOX","CA088","70848","231","SCE Boquet Canyon","[object Object],[object Object]","US","[object Object]","false","34.49828"
"SC-EDISON","LOX370","1145","[object Object]","America/Los_Angeles","SC08","SC-EDISON","1140","SE007","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-118.59412","Los Angeles","CA","LOX","CA370","70850","231","SCE Topanga Canyon","[object Object],[object Object]","US","[object Object]","false","34.08571"
"SC-EDISON","LOX548","1551.8","[object Object]","America/Los_Angeles","SC08","SC-EDISON","1560","SE009","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-118.02373","Los Angeles","CA","LOX","CA548","70852","231","SCE Santa Anita Canyon","[object Object],[object Object]","US","[object Object]","false","34.17880"
"SC-EDISON","LOX370","1259.8","[object Object]","America/Los_Angeles","SC08","SC-EDISON","1220","SE010","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-118.62150","Los Angeles","CA","LOX","CA370","70853","231","SCE Calabasas","[object Object],[object Object]","US","[object Object]","false","34.10930"
"SC-EDISON","LOX288","1778.2","[object Object]","America/Los_Angeles","SC09","SC-EDISON","1758","SE012","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-118.42240","Los Angeles","CA","LOX","CA088","70855","231","SCE Vasquez Canyon Rd","[object Object],[object Object]","US","[object Object]","false","34.45997"
"SC-EDISON","LOX370","1446.9","[object Object]","America/Los_Angeles","SC08","SC-EDISON","1460","SE013","null","SOCC","Southern California Edison","INACTIVE","[object Object]","-118.63240","Los Angeles","CA","LOX","CA370","70856","231","SCE Old Topanga Canyon Rd","[object Object],[object Object]","US","[object Object]","false","34.12310"
"SC-EDISON","SGX552","229.7","[object Object]","America/Los_Angeles","SC08","SC-EDISON","200","SE014","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-117.76750","Orange","CA","SGX","CA552","70857","231","SCE Laguna Beach","[object Object],[object Object]","US","[object Object]","false","33.55310"
"SC-EDISON","LOX379","3523.6","[object Object]","America/Los_Angeles","SC09","SC-EDISON","3515","SE015","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-118.16558","Los Angeles","CA","LOX","CA379","70858","231","SCE Acton Canyon","[object Object],[object Object]","US","[object Object]","false","34.51004"
"SC-EDISON","LOX548","823.5","[object Object]","America/Los_Angeles","SC08","SC-EDISON","805","SE016","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-118.01004","Los Angeles","CA","LOX","CA548","70859","231","SCE Monrovia Wilderness Preserve","[object Object],[object Object]","US","[object Object]","false","34.16603"
"SC-EDISON","LOX371","695.5","[object Object]","America/Los_Angeles","SC08","SC-EDISON","642","SE017","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-118.69874","Los Angeles","CA","LOX","CA371","70860","231","SCE Stokes Canyon","[object Object],[object Object]","US","[object Object]","false","34.10876"
"SC-EDISON","SGX552","255.9","[object Object]","America/Los_Angeles","SC08","SC-EDISON","230","SE018","null","SOCC","Southern California Edison","ACTIVE","[object Object]","-117.76353","Orange","CA","SGX","CA552","70861","231","SCE Laguna Beach 2","[object Object],[object Object]","US","[object Object]","false","33.53648"
