"MNET_SHORTNAME","NWSFIREZONE","ELEV_DEM","UNITS","TIMEZONE","SGID","SHORTNAME","ELEVATION","STID","WIMS_ID","GACC","MNET_LONGNAME","STATUS","PERIOD_OF_RECORD","LONGITUDE","COUNTY","STATE","CWA","NWSZONE","ID","MNET_ID","NAME","PROVIDERS","COUNTRY","SENSOR_VARIABLES","RESTRICTED","LATITUDE"
"LIBERTY","REV272","6843.8","[object Object]","America/Los_Angeles","NC08","LIBERTY","6836","LIB01","null","NOCC","Liberty Utilities","INACTIVE","[object Object]","-120.07386","Nevada","CA","REV","CA072","91587","246","GLS7600-Walden","[object Object],[object Object]","US","[object Object]","false","39.33139"
"LIBERTY","REV272","6843.8","[object Object]","America/Los_Angeles","NC07","LIBERTY","6827","LIB02","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.10027","El Dorado","CA","REV","CA072","91588","246","TAH7300-DL Bliss","[object Object],[object Object]","US","[object Object]","false","38.97561"
"LIBERTY","REV421","5557.7","[object Object]","America/Los_Angeles","GB11","LIBERTY","5529","LIB03","null","GBCC","Liberty Utilities","ACTIVE","[object Object]","-119.81786","Alpine","CA","REV","CA072","92086","246","MUL1296-Woodfords","[object Object],[object Object]","US","[object Object]","false","38.78265"
"LIBERTY","REV421","5039.4","[object Object]","America/Los_Angeles","GB11","LIBERTY","5047","LIB05","null","GBCC","Liberty Utilities","ACTIVE","[object Object]","-119.52023","Mono","CA","REV","CA073","92093","246","TPZ1261Park Ranch","[object Object],[object Object]","US","[object Object]","false","38.64120"
"LIBERTY","REV272","7234.3","[object Object]","America/Los_Angeles","NC07","LIBERTY","7205","LIB04","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.07202","Placer","CA","REV","CA072","92381","246","BKY4201-Summit","[object Object],[object Object]","US","[object Object]","false","39.26120"
"LIBERTY","REV421","5475.7","[object Object]","America/Los_Angeles","GB11","LIBERTY","5484","LIB06","null","GBCC","Liberty Utilities","ACTIVE","[object Object]","-119.50416","Mono","CA","REV","CA073","92382","246","TPZ1261-Walker","[object Object],[object Object]","US","[object Object]","false","38.53392"
"LIBERTY","REV272","6535.4","[object Object]","America/Los_Angeles","NC07","LIBERTY","6496","LIB08","null","NOCC","Liberty Utilities","INACTIVE","[object Object]","-119.95965","El Dorado","CA","REV","CA072","92384","246","111Line-Columbine Trail","[object Object],[object Object]","US","[object Object]","false","38.89062"
"LIBERTY","REV271","5013.1","[object Object]","America/Los_Angeles","NC07","LIBERTY","5001","LIB09","null","NOCC","Liberty Utilities","INACTIVE","[object Object]","-120.50284","Plumas","CA","REV","CA071","92511","246","POR31-Iron Horse","[object Object],[object Object]","US","[object Object]","false","39.77898"
"LIBERTY","REV271","4885.2","[object Object]","America/Los_Angeles","NC08","LIBERTY","4884","LIB10","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.37408","Plumas","CA","REV","CA071","92658","246","619Line-Sierra Valley West","[object Object],[object Object]","US","[object Object]","false","39.75937"
"LIBERTY","REV272","6975.1","[object Object]","America/Los_Angeles","NC07","LIBERTY","6961","LIB11","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.03744","El Dorado","CA","REV","CA072","142968","246","Meyers3400-Uplands","[object Object]","US","[object Object]","false","38.89563"
"LIBERTY","REV272","6220.5","[object Object]","America/Los_Angeles","NC08","LIBERTY","6202","LIB13","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.23032","Placer","CA","REV","CA072","154239","246","SQV8200-Squaw Valley","[object Object]","US","[object Object]","false","39.19847"
"LIBERTY","REV272","6489.5","[object Object]","America/Los_Angeles","NC07","LIBERTY","6458","LIB12","null","NOCC","Liberty Utilities","INACTIVE","[object Object]","-120.22144","Placer","CA","REV","CA072","154512","246","7201-Alpine Meadows","[object Object]","US","[object Object]","false","39.18169"
"LIBERTY","REV272","5866.1","[object Object]","America/Los_Angeles","NC08","LIBERTY","5872","LIB14","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.09745","Nevada","CA","REV","CA072","155474","246","7400-Glenshire","[object Object]","US","[object Object]","false","39.35208"
"LIBERTY","REV272","5265.7","[object Object]","America/Los_Angeles","GB12","LIBERTY","5265","LIB15","null","GBCC","Liberty Utilities","ACTIVE","[object Object]","-120.00981","Sierra","CA","REV","CA071","155831","246","Washoe204-Fariad","[object Object]","US","[object Object]","false","39.44983"
"LIBERTY","REV272","5876","[object Object]","America/Los_Angeles","NC08","LIBERTY","5856","LIB16","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.14992","Nevada","CA","REV","CA072","156214","246","Hobart Sub","[object Object]","US","[object Object]","false","39.39921"
"LIBERTY","REV272","6269.7","[object Object]","America/Los_Angeles","NC07","LIBERTY","6240","LIB17","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.16106","Placer","CA","REV","CA072","156227","246","TAH7300-Homewood","[object Object]","US","[object Object]","false","39.08579"
"LIBERTY","REV272","6289.4","[object Object]","America/Los_Angeles","NC07","LIBERTY","6265","LIB18","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.04749","El Dorado","CA","REV","CA072","156243","246","MEY3400-Camp Richardson","[object Object]","US","[object Object]","false","38.93403"
"LIBERTY","REV272","6276.2","[object Object]","America/Los_Angeles","NC07","LIBERTY","6256","LIB19","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-119.97072","El Dorado","CA","REV","CA072","156244","246","MEY3500-STPD Office","[object Object]","US","[object Object]","false","38.92180"
"LIBERTY","REV272","6309.1","[object Object]","America/Los_Angeles","NC08","LIBERTY","6305","LIB20","null","NOCC","Liberty Utilities","INACTIVE","[object Object]","-120.21520","Placer","CA","REV","CA072","156565","246","TRK7202-Cabin Tree","[object Object]","US","[object Object]","false","39.29201"
"LIBERTY","REV272","5246.1","[object Object]","America/Los_Angeles","GB12","LIBERTY","5240","LIB21","null","GBCC","Liberty Utilities","ACTIVE","[object Object]","-120.02546","Nevada","CA","REV","CA072","157133","246","WSH201-Floriston","[object Object]","US","[object Object]","false","39.40479"
"LIBERTY","REV271","5019.7","[object Object]","America/Los_Angeles","NC08","LIBERTY","5013","LIB22","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.22197","Sierra","CA","REV","CA071","157248","246","CEM41-Garbage Pit Rd","[object Object]","US","[object Object]","false","39.67508"
"LIBERTY","REV271","5187","[object Object]","America/Los_Angeles","NC08","LIBERTY","5190","LIB23","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.21374","Sierra","CA","REV","CA071","157251","246","SRB51-Smithneck Rd","[object Object]","US","[object Object]","false","39.64349"
"LIBERTY","REV272","4986.9","[object Object]","America/Los_Angeles","GB12","LIBERTY","4987","LIB24","null","GBCC","Liberty Utilities","ACTIVE","[object Object]","-120.00443","Sierra","CA","REV","CA071","157400","246","CAL204-Dog Valley","[object Object]","US","[object Object]","false","39.52486"
"LIBERTY","REV421","5023","[object Object]","America/Los_Angeles","GB11","LIBERTY","5006","LIB25","null","GBCC","Liberty Utilities","INACTIVE","[object Object]","-119.77950","Alpine","CA","REV","CA072","157425","246","Muller1296-Emigrant Trail","[object Object]","US","[object Object]","false","38.81995"
"LIBERTY","REV421","5521.7","[object Object]","America/Los_Angeles","GB11","LIBERTY","5519","LIB26","null","GBCC","Liberty Utilities","ACTIVE","[object Object]","-119.45609","Mono","CA","REV","CA073","157426","246","TPZ1261-Eastside Lane","[object Object]","US","[object Object]","false","38.52195"
"LIBERTY","REV272","5607","[object Object]","America/Los_Angeles","NC08","LIBERTY","5606","LIB27","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.11361","Nevada","CA","REV","CA072","157769","246","621Line-I-80 Gravel Pit","[object Object]","US","[object Object]","false","39.36963"
"LIBERTY","REV421","5551.2","[object Object]","America/Los_Angeles","GB11","LIBERTY","5534","LIB28","null","GBCC","Liberty Utilities","ACTIVE","[object Object]","-119.78068","Alpine","CA","REV","CA072","157785","246","MUL1296-Markleeville","[object Object]","US","[object Object]","false","38.69462"
"LIBERTY","REV272","6489.5","[object Object]","America/Los_Angeles","NC07","LIBERTY","6462","LIB29","null","NOCC","Liberty Utilities","INACTIVE","[object Object]","-120.01565","El Dorado","CA","REV","CA072","157793","246","MEY3300-Grass Lake Road","[object Object]","US","[object Object]","false","38.80338"
"LIBERTY","REV272","5846.5","[object Object]","America/Los_Angeles","NC08","LIBERTY","5848","LIB30","null","NOCC","Liberty Utilities","ACTIVE","[object Object]","-120.11554","Placer","CA","REV","CA072","157818","246","TRK7203-Northstar Golf Course","[object Object]","US","[object Object]","false","39.30061"
"undefined","REV272","6866.8","[object Object]","America/Los_Angeles","NC07","LIBERTY","6858","LIB31","null","NOCC","undefined","ACTIVE","[object Object]","-119.93573","El Dorado","CA","REV","CA072","180914","246","STL3101 Ledge Ct.","[object Object]","US","[object Object]","false","38.94305"
